what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730870372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730889500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730891404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730917439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730929574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731026263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731030798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731238517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731251211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731642475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731669769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731826242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731849992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495731875107
